district,mean_yield,mean_rainfall,mean_temperature,mean_overall_risk
Jalgaon,9.063287162162164,724.1364864864864,27.782094594594593,19.61216216216216
Chandrapur,8.617907284768213,941.7754966887418,27.257185430463576,17.024172185430466
Bhandara,7.314954385964913,949.8340350877194,27.20838596491228,15.967719298245616
Hingoli,7.24665306122449,706.1738095238095,27.336190476190477,17.993197278911566
Dhule,7.16031654676259,721.0172661870503,27.812122302158276,19.87086330935252
Wardha,7.080861209964413,944.8679715302492,27.34829181494662,16.861565836298933
Akola,6.581335740072202,945.313357400722,27.339458483754512,16.974729241877256
Nandurbar,6.573903973509934,724.6506622516556,27.71,18.62549668874172
Gadchiroli,6.4995957446808506,961.4822695035461,27.236453900709222,17.284751773049646
Buldhana,6.497942446043166,935.5546762589928,27.342122302158273,17.289208633093523
Gondia,6.420487632508834,940.8770318021202,27.1478445229682,16.825088339222614
Amravati,6.255912698412699,935.4984126984127,27.31373015873016,16.904761904761905
Nanded,6.126964664310954,707.5042402826856,27.435512367491167,19.28904593639576
Yavatmal,6.058663043478261,939.3978260869565,27.321521739130436,17.544202898550726
Osmanabad,5.859232704402516,698.8493710691824,27.217547169811322,18.749056603773585
Beed,5.834951492537313,707.9921641791044,27.243955223880597,18.63955223880597
Sangli,5.6447421875,809.85,25.848515625,13.715234375
Kolhapur,5.605604316546763,795.4359712230216,25.73384892086331,13.902158273381296
Parbhani,5.594859154929578,695.1971830985915,27.344330985915494,18.4806338028169
Washim,5.53390977443609,954.6379699248121,27.42593984962406,17.474436090225563
Satara,5.444658536585366,794.4202090592335,25.822369337979097,13.767595818815332
Jalna,5.443456140350877,711.7614035087719,27.34221052631579,19.08736842105263
Nagpur,5.062808219178082,948.1972602739726,27.2713698630137,17.229109589041094
Palghar,5.0156175438596495,2477.398245614035,27.349754385964914,30.138245614035085
Solapur,4.8329562289562285,796.0195286195286,25.79191919191919,13.634680134680135
Latur,4.61268275862069,701.2503448275862,27.23337931034483,17.318275862068965
Sindhudurg,4.361289562289562,2466.154208754209,27.323535353535355,29.98720538720539
Thane,4.3347291666666665,2453.3305555555553,27.235555555555557,29.202777777777776
Pune,4.265326241134752,788.063829787234,25.833652482269503,14.519858156028368
Nashik,4.263245901639344,798.7196721311475,25.82,13.894754098360654
Raigad,3.717927586206897,2481.3755172413794,27.225172413793103,30.416206896551728
Mumbai Suburban,3.716580985915493,2484.3176056338025,27.277147887323945,29.957042253521124
Aurangabad,3.5354798534798535,705.4593406593407,27.31553113553114,18.075457875457875
Ratnagiri,3.244465465465465,2531.448948948949,27.340960960960963,30.981081081081083
Ahmednagar,3.132787545787546,792.0604395604396,25.774615384615384,14.287912087912087
